asset_name,license_type,commercial_use,confidence,detection_source,license_file
sherpa-onnx-nemo-transducer-giga-am-russian-2024-10-24.tar.bz2,mit,yes,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-transducer-giga-am-russian-2024-10-24
sherpa-onnx-nemo-ctc-giga-am-v2-russian-2025-04-19.tar.bz2,mit,yes,high,archive_license_file,sherpa-onnx-nemo-ctc-giga-am-v2-russian-2025-04-19/LICENSE
sherpa-onnx-nemo-ctc-giga-am-russian-2024-10-24.tar.bz2,mit,yes,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-ctc-giga-am-russian-2024-10-24
sherpa-onnx-streaming-zipformer-multi-zh-hans-2023-12-12.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR#included-training-sets
sherpa-onnx-streaming-zipformer-zh-int8-2025-06-30.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-zh-fp16-2025-06-30.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-zh-2025-06-30.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-ctc-zh-int8-2025-06-30.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-ctc-zh-fp16-2025-06-30.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-ctc-zh-2025-06-30.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-zh-xlarge-int8-2025-06-30.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-zh-xlarge-fp16-2025-06-30.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-ctc-zh-xlarge-int8-2025-06-30.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-ctc-zh-xlarge-fp16-2025-06-30.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-multi-zh-hans-int8-2023-12-13.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-multi-zh-hans-fp16-2023-12-13.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-multi-zh-hans-2023-12-13.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-ctc-multi-zh-hans-int8-2023-12-13.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-ctc-multi-zh-hans-fp16-2023-12-13.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-streaming-zipformer-ctc-multi-zh-hans-2023-12-13.tar.bz2,proprietary-restricted,no,high,huggingface_model_card,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-zipformer-ctc-zh-int8-2025-07-03.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-zipformer-ctc-zh-fp16-2025-07-03.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-zipformer-ctc-zh-2025-07-03.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR
sherpa-onnx-nemo-canary-180m-flash-en-es-de-fr.tar.bz2,cc-by-4.0,yes,high,manual,https://huggingface.co/nvidia/canary-180m-flash
sherpa-onnx-nemo-canary-180m-flash-en-es-de-fr-int8.tar.bz2,cc-by-4.0,yes,high,manual,https://huggingface.co/nvidia/canary-180m-flash
sherpa-onnx-fire-red-asr-large-zh_en-fp16-2025-02-16.tar.bz2,apache-2.0,yes,high,manual,https://k2-fsa.github.io/sherpa/onnx/FireRedAsr/index.html
sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-80ms.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-80ms
sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-80ms-int8.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-80ms-int8
sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-480ms.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-480ms
sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-480ms-int8.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-480ms-int8
sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-1040ms.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-1040ms
sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-1040ms-int8.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-ctc-en-1040ms-int8
sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-80ms.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-80ms.tar.bz2
sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-80ms-int8.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-80ms-int8.tar.bz2
sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-480ms.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-480ms.tar.bz2
sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-480ms-int8.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-480ms-int8.tar.bz2
sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-1040ms.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-1040ms.tar.bz2
sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-1040ms-int8.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-streaming-fast-conformer-transducer-en-1040ms-int8.tar.bz2
sherpa-onnx-nemo-parakeet_tdt_ctc_110m-en-36000.tar.bz2,cc-by-4.0,yes,high,manual,https://huggingface.co/nvidia/parakeet-tdt_ctc-110m
sherpa-onnx-nemo-parakeet_tdt_ctc_110m-en-36000-int8.tar.bz2,cc-by-4.0,yes,high,manual,https://huggingface.co/nvidia/parakeet-tdt_ctc-110m
sherpa-onnx-nemo-fast-conformer-ctc-es-1424.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://www.nvidia.com/en-us/agreements/enterprise-software/nvidia-open-model-license/
sherpa-onnx-nemo-fast-conformer-ctc-es-1424-int8.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://www.nvidia.com/en-us/agreements/enterprise-software/nvidia-open-model-license/
sherpa-onnx-nemo-fast-conformer-ctc-en-de-es-fr-14288.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://www.nvidia.com/en-us/agreements/enterprise-software/nvidia-open-model-license/
sherpa-onnx-nemo-fast-conformer-ctc-en-de-es-fr-14288-int8.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://www.nvidia.com/en-us/agreements/enterprise-software/nvidia-open-model-license/
sherpa-onnx-nemo-fast-conformer-ctc-en-24500.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://www.nvidia.com/en-us/agreements/enterprise-software/nvidia-open-model-license/
sherpa-onnx-nemo-fast-conformer-ctc-en-24500-int8.tar.bz2,nvidia-open-model-license,conditional,high,manual,https://www.nvidia.com/en-us/agreements/enterprise-software/nvidia-open-model-license/
